,Weights,Bias
Feature55,-0.0014469952087701424,1.0408340855860843e-16
Feature56,0.0008915778035745644,1.0408340855860843e-16
Feature57,0.005877645707825311,1.0408340855860843e-16
Feature58,-0.03717070763164439,1.0408340855860843e-16
Feature59,-0.006795323028739286,1.0408340855860843e-16
Feature60,-0.0033569751036492445,1.0408340855860843e-16
Feature61,-0.0017455016714604495,1.0408340855860843e-16
Feature62,-0.00186040676941246,1.0408340855860843e-16
Feature63,-0.001854450690068336,1.0408340855860843e-16
Feature64,-0.007300050669518506,1.0408340855860843e-16
Feature65,-0.00093020338470623,1.0408340855860843e-16
Feature66,0.00769458083410813,1.0408340855860843e-16
Feature67,-0.007215064631414077,1.0408340855860843e-16
Feature68,-0.001770717437675695,1.0408340855860843e-16
Feature69,-0.004195824826768678,1.0408340855860843e-16
Feature70,0.03461027457838885,1.0408340855860843e-16
Feature71,0.002351495598466111,1.0408340855860843e-16
Feature72,0.004720898356308583,1.0408340855860843e-16
Feature73,-0.001512323027091688,1.0408340855860843e-16
Feature74,-0.00767859920115356,1.0408340855860843e-16
Feature75,-0.010665139351859101,1.0408340855860843e-16
Feature76,-0.001871994022348407,1.0408340855860843e-16
Feature77,0.013379724341431486,1.0408340855860843e-16
Feature78,0.006062250200393107,1.0408340855860843e-16
Feature79,0.002282181293559243,1.0408340855860843e-16
Feature80,-0.00924262670460422,1.0408340855860843e-16
Feature81,0.0006339724284127889,1.0408340855860843e-16
Feature82,-0.003248583751779839,1.0408340855860843e-16
Feature83,0.008662848766280092,1.0408340855860843e-16
Feature84,0.0005757720912067728,1.0408340855860843e-16
Feature85,-0.0026910193899276056,1.0408340855860843e-16
Feature86,0.0010562460242525707,1.0408340855860843e-16
Feature87,0.003740003409952069,1.0408340855860843e-16
Feature88,0.005096210189275781,1.0408340855860843e-16
Feature89,0.0029559192678323878,1.0408340855860843e-16
Feature90,0.002937647442324005,1.0408340855860843e-16
Feature91,0.004534947360158362,1.0408340855860843e-16
Feature92,0.006762922418829618,1.0408340855860843e-16
Feature93,0.004136622099723597,1.0408340855860843e-16
Feature94,0.017549808231794254,1.0408340855860843e-16
Feature95,0.0006943993043389851,1.0408340855860843e-16
Feature96,-0.002257744808318207,1.0408340855860843e-16
Feature97,-0.013238605508156776,1.0408340855860843e-16
Feature98,0.0036947353049850275,1.0408340855860843e-16
Feature99,0.016486829658851353,1.0408340855860843e-16
Feature100,-0.003314706505538157,1.0408340855860843e-16
Feature101,0.007149762996992908,1.0408340855860843e-16
Feature102,0.004361749155288149,1.0408340855860843e-16
Feature103,0.0007377481524689048,1.0408340855860843e-16
Feature104,0.0037912200619007537,1.0408340855860843e-16
Feature105,-0.0014423044638620455,1.0408340855860843e-16
Feature106,-0.002057381876509339,1.0408340855860843e-16
Feature107,0.002120651130130372,1.0408340855860843e-16
Feature108,-0.003690401311883771,1.0408340855860843e-16
Feature109,0.002354319369494518,1.0408340855860843e-16
Feature110,0.001955673879830189,1.0408340855860843e-16
Feature111,0.0037912200619007537,1.0408340855860843e-16
Feature112,-0.00093020338470623,1.0408340855860843e-16
Feature113,-0.0028507193454232623,1.0408340855860843e-16
Feature114,-0.013700123999766937,1.0408340855860843e-16
Feature115,0.002752205390529458,1.0408340855860843e-16
Feature116,0.004164801180471413,1.0408340855860843e-16
Feature117,0.0009323564676629245,1.0408340855860843e-16
Feature118,0.006994170445494942,1.0408340855860843e-16
Feature119,-0.007360163221061463,1.0408340855860843e-16
Feature120,-0.0021033916307613976,1.0408340855860843e-16
Feature121,0.0028865244063950865,1.0408340855860843e-16
Feature122,-0.01443879080477163,1.0408340855860843e-16
Feature123,0.0021869901959133335,1.0408340855860843e-16
Feature124,0.0019482732026718844,1.0408340855860843e-16
Feature125,-0.0014365220711909479,1.0408340855860843e-16
Feature126,-0.030098664284959397,1.0408340855860843e-16
Feature127,-0.006601230955787024,1.0408340855860843e-16
Feature128,-0.001871994022348407,1.0408340855860843e-16
Feature129,-0.0017979246132752457,1.0408340855860843e-16
Feature130,-0.005485478431870653,1.0408340855860843e-16
Feature131,0.001048327679093037,1.0408340855860843e-16
Feature132,-0.0008117848681781293,1.0408340855860843e-16
Feature133,0.002181223618631143,1.0408340855860843e-16
Feature134,-0.004138134788610394,1.0408340855860843e-16
Feature135,-0.0021890087190484333,1.0408340855860843e-16
Feature136,0.002937647442324005,1.0408340855860843e-16
Feature137,-0.012577509181396941,1.0408340855860843e-16
Feature138,0.0009177370155890643,1.0408340855860843e-16
Feature139,-0.01212658552016568,1.0408340855860843e-16
Feature140,0.007922991285428992,1.0408340855860843e-16
Feature141,0.0037715549246729037,1.0408340855860843e-16
Feature142,0.0004723900714245631,1.0408340855860843e-16
Feature143,0.006956499959774953,1.0408340855860843e-16
Feature144,0.0018820093000014985,1.0408340855860843e-16
Feature145,0.0036615421198542826,1.0408340855860843e-16
Feature146,-0.0008241175089500809,1.0408340855860843e-16
Feature147,-0.0008734224909871661,1.0408340855860843e-16
Feature148,0.000959060104976572,1.0408340855860843e-16
Feature149,-0.004828478816547179,1.0408340855860843e-16
Feature150,0.0020101297621533984,1.0408340855860843e-16
Feature151,-0.0016252668409754859,1.0408340855860843e-16
Feature152,-0.009346134230112662,1.0408340855860843e-16
Feature153,-0.005786125647772874,1.0408340855860843e-16
