Term,TF1,TF2,TF3,TF4,TF5,TF6,TFN1,TFN2,TFN3,TFN4,TFN5,TFN6,DF,IDF,TFIDF1,TFIDF2,TFIDF3,TFIDF4,TFIDF5,TFIDF6,TFIDFN1,TFIDFN2,TFIDFN3,TFIDFN4,TFIDFN5,TFIDFN6
trus,0,1,0,0,0,0,0.0,0.0213,0.0,0.0,0.0,0.0,1,2.2528,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.1356,0.0,0.0,0.0,0.0
tuh,0,0,1,1,0,0,0.0,0.0,0.0167,0.0357,0.0,0.0,2,1.8473,0.0,0.0,0.0308,0.0659,0.0,0.0,0.0,0.0,0.1028,0.1698,0.0,0.0
uda,0,0,1,0,0,0,0.0,0.0,0.0167,0.0,0.0,0.0,1,2.2528,0.0,0.0,0.0376,0.0,0.0,0.0,0.0,0.0,0.1255,0.0,0.0,0.0
ukur,0,0,0,1,0,0,0.0,0.0,0.0,0.0357,0.0,0.0,1,2.2528,0.0,0.0,0.0,0.0804,0.0,0.0,0.0,0.0,0.0,0.2071,0.0,0.0
video,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0571,0.0,1,2.2528,0.0,0.0,0.0,0.0,0.1286,0.0,0.0,0.0,0.0,0.0,0.3145,0.0
waktu,0,0,1,0,0,0,0.0,0.0,0.0167,0.0,0.0,0.0,1,2.2528,0.0,0.0,0.0376,0.0,0.0,0.0,0.0,0.0,0.1255,0.0,0.0,0.0
wardah,0,2,0,0,0,0,0.0,0.0426,0.0,0.0,0.0,0.0,1,2.2528,0.0,0.096,0.0,0.0,0.0,0.0,0.0,0.2713,0.0,0.0,0.0,0.0
warokhmah,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0625,1,2.2528,0.0,0.0,0.0,0.0,0.0,0.1408,0.0,0.0,0.0,0.0,0.0,0.2379
waw,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0286,0.0,1,2.2528,0.0,0.0,0.0,0.0,0.0644,0.0,0.0,0.0,0.0,0.0,0.1575,0.0
yg,0,1,2,1,1,0,0.0,0.0213,0.0333,0.0357,0.0286,0.0,4,1.3365,0.0,0.0285,0.0445,0.0477,0.0382,0.0,0.0,0.0805,0.1486,0.1229,0.0934,0.0
