Terms,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,TFNorm,DF,IDF,TFIDF
bingung,0.0,0.0,0.0,0.0,0.0,0.0,0.3035758798917438,0.0,0.0,0.0,0.3035758798917438,1,2.7047480922384253,0.8210962819867953
biru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12196074070777727,0.15039240288848774,0.0,0.27235314359626495,2,2.2992829841302607,0.6262169487452776
buat,0.0,0.0,0.14187700191923402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14187700191923402,1,2.7047480922384253,0.3837415502735556
bukan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213319785148997,0.21331978514899694,1,2.7047480922384253,0.5769762819184604
ccok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213319785148997,0.21331978514899694,1,2.7047480922384253,0.5769762819184604
cekit,0.0,0.0,0.0,0.0,0.0,0.6484283583541371,0.0,0.0,0.0,0.0,0.6484283583541371,1,2.7047480922384253,1.7538353652116465
cenderung,0.0,0.0,0.14187700191923402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14187700191923402,1,2.7047480922384253,0.3837415502735556
coba,0.2412815105513634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2412815105513634,1,2.7047480922384253,0.6526057053562057
cocok,0.4102226548845585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18134130626763578,0.5915639611521942,2,2.2992829841302607,1.3601729499019348
dagu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17691322364726594,0.0,0.17691322364726594,1,2.7047480922384253,0.4785057041516924
deh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213319785148997,0.21331978514899694,1,2.7047480922384253,0.5769762819184604
dikit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14346780410856014,0.0,0.0,0.1434678041085601,1,2.7047480922384253,0.38804426946026416
dipakenya,0.0,0.0,0.14187700191923402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14187700191923402,1,2.7047480922384253,0.3837415502735556
drpd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14346780410856014,0.0,0.0,0.1434678041085601,1,2.7047480922384253,0.38804426946026416
emang,0.0,0.0,0.14187700191923402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14187700191923402,1,2.7047480922384253,0.3837415502735556
emng,0.0,0.41555891100467346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4155589110046735,1,2.7047480922384253,1.123982171752568
enak,0.0,0.0,0.12060841351119624,0.0,0.0,0.0,0.0,0.12196074070777727,0.0,0.0,0.24256915421897346,2,2.2992829841302607,0.5577351287705548
faktor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14346780410856014,0.0,0.0,0.1434678041085601,1,2.7047480922384253,0.38804426946026416
flek,0.0,0.0,0.0,0.28035681610650437,0.0,0.0,0.0,0.0,0.0,0.0,0.2803568161065043,1,2.7047480922384253,0.7582945635101067
ga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14346780410856014,0.0,0.0,0.1434678041085601,1,2.7047480922384253,0.38804426946026416
gak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213319785148997,0.21331978514899694,1,2.7047480922384253,0.5769762819184604
gimana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17691322364726594,0.0,0.17691322364726594,1,2.7047480922384253,0.4785057041516924
gitu,0.0,0.0,0.0,0.0,0.0,0.2756116725009526,0.0,0.12196074070777727,0.0,0.0,0.3975724132087298,2,2.2992829841302607,0.9141314846504375
gk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213319785148997,0.21331978514899694,1,2.7047480922384253,0.5769762819184604
