,DecisionValue
D583,-0.01256988390728376
D584,-0.013623596123921706
D585,-0.01762706928268805
D586,-0.015337342191884864
D587,-0.024314740787955404
D588,-0.017353295114723284
D589,-0.010522917512698257
D590,-0.013059314657558094
D591,-0.03380839714636717
D592,-0.01967479416455946
D593,-0.015657131856748212
D594,-0.015709428998150525
D595,-0.018657486583443173
D596,-0.023268007991042037
D597,-0.010599935076570106
D598,-0.023056467152843544
D599,-0.027132863313201982
D600,-0.008134252707607526
D601,-0.014438309367471926
D602,-0.019375120823623502
D603,-0.028075301006278714
D604,-0.020039495224294587
D605,-0.008628285587920174
D606,-0.01967785157475996
D607,-0.02091170907820413
D608,-0.013548455106193015
D609,-0.011157821772518561
D610,-0.0216806413308555
D611,-0.023065082592874545
D612,-0.01816067695930883
D613,-0.019628788134112365
D614,-0.027593307119888874
D615,-0.01610653362179045
D616,-0.015279214793524445
D617,-0.014289216062936167
D618,-0.012934048250560232
D619,-0.012638143245599155
D620,-0.017911636612733435
D621,-0.016009558255832324
D622,-0.008696299601243324
D623,-0.010789015105199138
D624,-0.009048549085496611
D625,-0.014656672734185007
D626,-0.03679651216065123
D627,-0.0030607269799871055
D628,-0.01444407458440921
D629,-0.00936767909859441
D630,-0.0286987102580205
D631,-0.008587299294075547
D632,-0.01300154753609281
D633,-0.015293545536912747
D634,-0.010714945557913955
D635,-0.02636179884597072
D636,-0.017956155557059816
D637,-0.025388400340737288
D638,-0.011128018969792888
D639,-0.01622699528167814
D640,-0.036772342585753154
D641,-0.018063152858506366
D642,-0.021157381533897512
D643,-0.019967662628457138
D644,-0.022010017656911338
D645,-0.017949124952420084
D646,-0.015601836697465024
D647,-0.008531876606436435
D648,-0.022546189872230844
D649,-0.043621733128256526
D650,-0.01650498560666204
D651,-0.029930985228921188
D652,-0.023019101432322348
D653,-0.020503913245077658
D654,-0.011142413679226115
D655,-0.030171635155934504
D656,-0.021957937102679386
D657,-0.009866305745979366
D658,-0.030353391507106187
D659,-0.012561644075857597
D660,-0.02044274895054478
D661,-0.0018685590015298532
D662,-0.010733430869561954
D663,-0.012976732726809022
D664,-0.003437950328711069
D665,-0.0013375858880078433
D666,-0.014985646786831737
D667,-0.015452628236418532
D668,-0.011898415978666865
D669,-0.003411750723055415
D670,-0.009643775555089816
D671,-0.0034888195143681906
D672,-0.005645782089562892
D673,-0.012506466021638874
D674,-0.016878625937234604
D675,-0.003367573291252226
D676,-0.014023573905758471
D677,-0.012912790335100365
D678,-0.015337095124586416
D679,-0.013509924322072755
D680,-0.012681237092409276
D681,-0.010357376992658169
D682,-0.004835062139035139
D683,-0.01643933025785284
D684,-0.011650311583153375
D685,-0.01264339123240794
D686,-0.008317026285122542
D687,-0.011144483395570021
D688,-0.00929381268058805
D689,-0.01892414684843443
D690,-0.005513215003957702
D691,-0.004714187009092728
D692,-0.01011899198776919
D693,-0.0030292918147097336
D694,-0.01898281302365339
D695,-0.015329348915919822
D696,-0.010644784685126085
D697,-0.01609528275683241
D698,-0.008517737224425899
D699,-0.021344098448461444
D700,-0.016947713348473167
D701,-0.011342144439661077
D702,-0.01851506686076018
D703,-0.017646667897680414
D704,-0.015281720701279151
D705,-0.016506538442449793
D706,-0.007806988238924131
D707,-0.02308622188245111
D708,-0.02633990198514184
D709,-0.007197845364630041
D710,-0.022921350579588547
D711,-0.017393003571596403
D712,-0.017016097692774096
D713,-0.01577161932916974
D714,-0.015921458430706824
D715,-0.022175389605866763
D716,-0.017285622184248423
D717,-0.018791926988453937
D718,-0.015069651317788441
D719,-0.014788390877135077
D720,-0.015370761072847034
D721,-0.018642765175399974
